DesignName,ParticipantID,TrialID,Block1,Block2,VV,Oc
Preattention,1,1,1,1,Size,Medium
Preattention,1,2,1,1,Size,Medium
Preattention,1,3,1,1,Size,Medium
Preattention,1,4,1,1,Size,Medium
Preattention,1,5,1,1,Size,Medium
Preattention,1,6,1,2,Size,Low
Preattention,1,7,1,2,Size,Low
Preattention,1,8,1,2,Size,Low
Preattention,1,9,1,2,Size,Low
Preattention,1,10,1,2,Size,Low
Preattention,1,11,1,3,Size,High
Preattention,1,12,1,3,Size,High
Preattention,1,13,1,3,Size,High
Preattention,1,14,1,3,Size,High
Preattention,1,15,1,3,Size,High
Preattention,1,16,2,1,Color,Medium
Preattention,1,17,2,1,Color,Medium
Preattention,1,18,2,1,Color,Medium
Preattention,1,19,2,1,Color,Medium
Preattention,1,20,2,1,Color,Medium
Preattention,1,21,2,2,Color,Low
Preattention,1,22,2,2,Color,Low
Preattention,1,23,2,2,Color,Low
Preattention,1,24,2,2,Color,Low
Preattention,1,25,2,2,Color,Low
Preattention,1,26,2,3,Color,High
Preattention,1,27,2,3,Color,High
Preattention,1,28,2,3,Color,High
Preattention,1,29,2,3,Color,High
Preattention,1,30,2,3,Color,High
Preattention,1,31,3,1,ColorSize,Medium
Preattention,1,32,3,1,ColorSize,Medium
Preattention,1,33,3,1,ColorSize,Medium
Preattention,1,34,3,1,ColorSize,Medium
Preattention,1,35,3,1,ColorSize,Medium
Preattention,1,36,3,2,ColorSize,Low
Preattention,1,37,3,2,ColorSize,Low
Preattention,1,38,3,2,ColorSize,Low
Preattention,1,39,3,2,ColorSize,Low
Preattention,1,40,3,2,ColorSize,Low
Preattention,1,41,3,3,ColorSize,High
Preattention,1,42,3,3,ColorSize,High
Preattention,1,43,3,3,ColorSize,High
Preattention,1,44,3,3,ColorSize,High
Preattention,1,45,3,3,ColorSize,High
Preattention,2,46,1,1,ColorSize,High
Preattention,2,47,1,1,ColorSize,High
Preattention,2,48,1,1,ColorSize,High
Preattention,2,49,1,1,ColorSize,High
Preattention,2,50,1,1,ColorSize,High
Preattention,2,51,1,2,ColorSize,Medium
Preattention,2,52,1,2,ColorSize,Medium
Preattention,2,53,1,2,ColorSize,Medium
Preattention,2,54,1,2,ColorSize,Medium
Preattention,2,55,1,2,ColorSize,Medium
Preattention,2,56,1,3,ColorSize,Low
Preattention,2,57,1,3,ColorSize,Low
Preattention,2,58,1,3,ColorSize,Low
Preattention,2,59,1,3,ColorSize,Low
Preattention,2,60,1,3,ColorSize,Low
Preattention,2,61,2,1,Size,High
Preattention,2,62,2,1,Size,High
Preattention,2,63,2,1,Size,High
Preattention,2,64,2,1,Size,High
Preattention,2,65,2,1,Size,High
Preattention,2,66,2,2,Size,Medium
Preattention,2,67,2,2,Size,Medium
Preattention,2,68,2,2,Size,Medium
Preattention,2,69,2,2,Size,Medium
Preattention,2,70,2,2,Size,Medium
Preattention,2,71,2,3,Size,Low
Preattention,2,72,2,3,Size,Low
Preattention,2,73,2,3,Size,Low
Preattention,2,74,2,3,Size,Low
Preattention,2,75,2,3,Size,Low
Preattention,2,76,3,1,Color,High
Preattention,2,77,3,1,Color,High
Preattention,2,78,3,1,Color,High
Preattention,2,79,3,1,Color,High
Preattention,2,80,3,1,Color,High
Preattention,2,81,3,2,Color,Medium
Preattention,2,82,3,2,Color,Medium
Preattention,2,83,3,2,Color,Medium
Preattention,2,84,3,2,Color,Medium
Preattention,2,85,3,2,Color,Medium
Preattention,2,86,3,3,Color,Low
Preattention,2,87,3,3,Color,Low
Preattention,2,88,3,3,Color,Low
Preattention,2,89,3,3,Color,Low
Preattention,2,90,3,3,Color,Low
Preattention,3,91,1,1,Color,Low
Preattention,3,92,1,1,Color,Low
Preattention,3,93,1,1,Color,Low
Preattention,3,94,1,1,Color,Low
Preattention,3,95,1,1,Color,Low
Preattention,3,96,1,2,Color,High
Preattention,3,97,1,2,Color,High
Preattention,3,98,1,2,Color,High
Preattention,3,99,1,2,Color,High
Preattention,3,100,1,2,Color,High
Preattention,3,101,1,3,Color,Medium
Preattention,3,102,1,3,Color,Medium
Preattention,3,103,1,3,Color,Medium
Preattention,3,104,1,3,Color,Medium
Preattention,3,105,1,3,Color,Medium
Preattention,3,106,2,1,ColorSize,Low
Preattention,3,107,2,1,ColorSize,Low
Preattention,3,108,2,1,ColorSize,Low
Preattention,3,109,2,1,ColorSize,Low
Preattention,3,110,2,1,ColorSize,Low
Preattention,3,111,2,2,ColorSize,High
Preattention,3,112,2,2,ColorSize,High
Preattention,3,113,2,2,ColorSize,High
Preattention,3,114,2,2,ColorSize,High
Preattention,3,115,2,2,ColorSize,High
Preattention,3,116,2,3,ColorSize,Medium
Preattention,3,117,2,3,ColorSize,Medium
Preattention,3,118,2,3,ColorSize,Medium
Preattention,3,119,2,3,ColorSize,Medium
Preattention,3,120,2,3,ColorSize,Medium
Preattention,3,121,3,1,Size,Low
Preattention,3,122,3,1,Size,Low
Preattention,3,123,3,1,Size,Low
Preattention,3,124,3,1,Size,Low
Preattention,3,125,3,1,Size,Low
Preattention,3,126,3,2,Size,High
Preattention,3,127,3,2,Size,High
Preattention,3,128,3,2,Size,High
Preattention,3,129,3,2,Size,High
Preattention,3,130,3,2,Size,High
Preattention,3,131,3,3,Size,Medium
Preattention,3,132,3,3,Size,Medium
Preattention,3,133,3,3,Size,Medium
Preattention,3,134,3,3,Size,Medium
Preattention,3,135,3,3,Size,Medium
Preattention,4,136,1,1,Size,Medium
Preattention,4,137,1,1,Size,Medium
Preattention,4,138,1,1,Size,Medium
Preattention,4,139,1,1,Size,Medium
Preattention,4,140,1,1,Size,Medium
Preattention,4,141,1,2,Size,Low
Preattention,4,142,1,2,Size,Low
Preattention,4,143,1,2,Size,Low
Preattention,4,144,1,2,Size,Low
Preattention,4,145,1,2,Size,Low
Preattention,4,146,1,3,Size,High
Preattention,4,147,1,3,Size,High
Preattention,4,148,1,3,Size,High
Preattention,4,149,1,3,Size,High
Preattention,4,150,1,3,Size,High
Preattention,4,151,2,1,Color,Medium
Preattention,4,152,2,1,Color,Medium
Preattention,4,153,2,1,Color,Medium
Preattention,4,154,2,1,Color,Medium
Preattention,4,155,2,1,Color,Medium
Preattention,4,156,2,2,Color,Low
Preattention,4,157,2,2,Color,Low
Preattention,4,158,2,2,Color,Low
Preattention,4,159,2,2,Color,Low
Preattention,4,160,2,2,Color,Low
Preattention,4,161,2,3,Color,High
Preattention,4,162,2,3,Color,High
Preattention,4,163,2,3,Color,High
Preattention,4,164,2,3,Color,High
Preattention,4,165,2,3,Color,High
Preattention,4,166,3,1,ColorSize,Medium
Preattention,4,167,3,1,ColorSize,Medium
Preattention,4,168,3,1,ColorSize,Medium
Preattention,4,169,3,1,ColorSize,Medium
Preattention,4,170,3,1,ColorSize,Medium
Preattention,4,171,3,2,ColorSize,Low
Preattention,4,172,3,2,ColorSize,Low
Preattention,4,173,3,2,ColorSize,Low
Preattention,4,174,3,2,ColorSize,Low
Preattention,4,175,3,2,ColorSize,Low
Preattention,4,176,3,3,ColorSize,High
Preattention,4,177,3,3,ColorSize,High
Preattention,4,178,3,3,ColorSize,High
Preattention,4,179,3,3,ColorSize,High
Preattention,4,180,3,3,ColorSize,High
Preattention,5,181,1,1,ColorSize,High
Preattention,5,182,1,1,ColorSize,High
Preattention,5,183,1,1,ColorSize,High
Preattention,5,184,1,1,ColorSize,High
Preattention,5,185,1,1,ColorSize,High
Preattention,5,186,1,2,ColorSize,Medium
Preattention,5,187,1,2,ColorSize,Medium
Preattention,5,188,1,2,ColorSize,Medium
Preattention,5,189,1,2,ColorSize,Medium
Preattention,5,190,1,2,ColorSize,Medium
Preattention,5,191,1,3,ColorSize,Low
Preattention,5,192,1,3,ColorSize,Low
Preattention,5,193,1,3,ColorSize,Low
Preattention,5,194,1,3,ColorSize,Low
Preattention,5,195,1,3,ColorSize,Low
Preattention,5,196,2,1,Size,High
Preattention,5,197,2,1,Size,High
Preattention,5,198,2,1,Size,High
Preattention,5,199,2,1,Size,High
Preattention,5,200,2,1,Size,High
Preattention,5,201,2,2,Size,Medium
Preattention,5,202,2,2,Size,Medium
Preattention,5,203,2,2,Size,Medium
Preattention,5,204,2,2,Size,Medium
Preattention,5,205,2,2,Size,Medium
Preattention,5,206,2,3,Size,Low
Preattention,5,207,2,3,Size,Low
Preattention,5,208,2,3,Size,Low
Preattention,5,209,2,3,Size,Low
Preattention,5,210,2,3,Size,Low
Preattention,5,211,3,1,Color,High
Preattention,5,212,3,1,Color,High
Preattention,5,213,3,1,Color,High
Preattention,5,214,3,1,Color,High
Preattention,5,215,3,1,Color,High
Preattention,5,216,3,2,Color,Medium
Preattention,5,217,3,2,Color,Medium
Preattention,5,218,3,2,Color,Medium
Preattention,5,219,3,2,Color,Medium
Preattention,5,220,3,2,Color,Medium
Preattention,5,221,3,3,Color,Low
Preattention,5,222,3,3,Color,Low
Preattention,5,223,3,3,Color,Low
Preattention,5,224,3,3,Color,Low
Preattention,5,225,3,3,Color,Low
Preattention,6,226,1,1,Color,Low
Preattention,6,227,1,1,Color,Low
Preattention,6,228,1,1,Color,Low
Preattention,6,229,1,1,Color,Low
Preattention,6,230,1,1,Color,Low
Preattention,6,231,1,2,Color,High
Preattention,6,232,1,2,Color,High
Preattention,6,233,1,2,Color,High
Preattention,6,234,1,2,Color,High
Preattention,6,235,1,2,Color,High
Preattention,6,236,1,3,Color,Medium
Preattention,6,237,1,3,Color,Medium
Preattention,6,238,1,3,Color,Medium
Preattention,6,239,1,3,Color,Medium
Preattention,6,240,1,3,Color,Medium
Preattention,6,241,2,1,ColorSize,Low
Preattention,6,242,2,1,ColorSize,Low
Preattention,6,243,2,1,ColorSize,Low
Preattention,6,244,2,1,ColorSize,Low
Preattention,6,245,2,1,ColorSize,Low
Preattention,6,246,2,2,ColorSize,High
Preattention,6,247,2,2,ColorSize,High
Preattention,6,248,2,2,ColorSize,High
Preattention,6,249,2,2,ColorSize,High
Preattention,6,250,2,2,ColorSize,High
Preattention,6,251,2,3,ColorSize,Medium
Preattention,6,252,2,3,ColorSize,Medium
Preattention,6,253,2,3,ColorSize,Medium
Preattention,6,254,2,3,ColorSize,Medium
Preattention,6,255,2,3,ColorSize,Medium
Preattention,6,256,3,1,Size,Low
Preattention,6,257,3,1,Size,Low
Preattention,6,258,3,1,Size,Low
Preattention,6,259,3,1,Size,Low
Preattention,6,260,3,1,Size,Low
Preattention,6,261,3,2,Size,High
Preattention,6,262,3,2,Size,High
Preattention,6,263,3,2,Size,High
Preattention,6,264,3,2,Size,High
Preattention,6,265,3,2,Size,High
Preattention,6,266,3,3,Size,Medium
Preattention,6,267,3,3,Size,Medium
Preattention,6,268,3,3,Size,Medium
Preattention,6,269,3,3,Size,Medium
Preattention,6,270,3,3,Size,Medium
